Row #,code,area,year,number_of_jobs,job_density
443,E09000002,Barking and Dagenham,2009,47000,0.42
444,E09000003,Barnet,2009,143000,0.63
445,E09000004,Bexley,2009,73000,0.5
446,E09000005,Brent,2009,110000,0.53
447,E09000006,Bromley,2009,119000,0.61
448,E09000007,Camden,2009,309000,1.99
449,E09000008,Croydon,2009,134000,0.57
450,E09000009,Ealing,2009,128000,0.56
451,E09000010,Enfield,2009,107000,0.54
452,E09000011,Greenwich,2009,80000,0.49
453,E09000012,Hackney,2009,101000,0.6
454,E09000013,Hammersmith and Fulham,2009,132000,0.98
455,E09000014,Haringey,2009,75000,0.42
456,E09000015,Harrow,2009,77000,0.5
457,E09000016,Havering,2009,80000,0.54
458,E09000017,Hillingdon,2009,197000,1.12
459,E09000018,Hounslow,2009,138000,0.82
460,E09000019,Islington,2009,206000,1.4
461,E09000020,Kensington and Chelsea,2009,129000,1.1
462,E09000021,Kingston upon Thames,2009,84000,0.78
463,E09000022,Lambeth,2009,149000,0.69
464,E09000023,Lewisham,2009,75000,0.4
465,E09000024,Merton,2009,79000,0.58
466,E09000025,Newham,2009,80000,0.41
467,E09000026,Redbridge,2009,79000,0.45
468,E09000027,Richmond upon Thames,2009,84000,0.68
469,E09000028,Southwark,2009,236000,1.15
470,E09000029,Sutton,2009,72000,0.58
471,E09000030,Tower Hamlets,2009,217000,1.23
472,E09000031,Waltham Forest,2009,69000,0.41
473,E09000032,Wandsworth,2009,125000,0.56
474,E09000033,Westminster,2009,640000,3.95
475,E12000001,North East,2009,1117000,0.67
476,E12000002,North West,2009,3352000,0.74
477,E12000003,Yorkshire and The Humber,2009,2516000,0.74
478,E12000004,East Midlands,2009,2126000,0.73
479,E12000005,West Midlands,2009,2588000,0.73
480,E12000006,East,2009,2789000,0.76
481,E12000007,London,2009,4739000,0.86
482,E12000008,South East,2009,4303000,0.79
483,E12000009,South West,2009,2717000,0.82
484,W92000004,Wales,2009,1345000,0.7
485,S92000003,Scotland,2009,2675000,0.78
486,N92000002,Northern Ireland,2009,840000,0.72
487,E92000001,England,2009,26246000,0.77
488,K04000001,England and Wales,2009,27591000,0.77
489,K03000001,Great Britain,2009,30266000,0.77
490,K02000001,United Kingdom,2009,31106000,0.77
491,E09000001,City of London,2010,388000,68.16
492,E09000002,Barking and Dagenham,2010,51000,0.44
493,E09000003,Barnet,2010,141000,0.61
494,E09000004,Bexley,2010,77000,0.53
495,E09000005,Brent,2010,114000,0.54
496,E09000006,Bromley,2010,120000,0.61
497,E09000007,Camden,2010,307000,1.97
498,E09000008,Croydon,2010,138000,0.58
499,E09000009,Ealing,2010,128000,0.55
500,E09000010,Enfield,2010,112000,0.56
501,E09000011,Greenwich,2010,82000,0.49
502,E09000012,Hackney,2010,101000,0.58
503,E09000013,Hammersmith and Fulham,2010,139000,1.03
504,E09000014,Haringey,2010,72000,0.4
505,E09000015,Harrow,2010,78000,0.5
506,E09000016,Havering,2010,82000,0.55
507,E09000017,Hillingdon,2010,192000,1.08
508,E09000018,Hounslow,2010,143000,0.83
509,E09000019,Islington,2010,197000,1.32
510,E09000020,Kensington and Chelsea,2010,129000,1.11
511,E09000021,Kingston upon Thames,2010,85000,0.78
512,E09000022,Lambeth,2010,151000,0.68
513,E09000023,Lewisham,2010,73000,0.38
514,E09000024,Merton,2010,78000,0.57
515,E09000025,Newham,2010,80000,0.38
516,E09000026,Redbridge,2010,78000,0.43
517,E09000027,Richmond upon Thames,2010,85000,0.68
518,E09000028,Southwark,2010,228000,1.09
519,E09000029,Sutton,2010,73000,0.59
520,E09000030,Tower Hamlets,2010,223000,1.22
521,E09000031,Waltham Forest,2010,66000,0.38
522,E09000032,Wandsworth,2010,118000,0.52
523,E09000033,Westminster,2010,644000,4
524,E12000001,North East,2010,1114000,0.66
525,E12000002,North West,2010,3326000,0.73
526,E12000003,Yorkshire and The Humber,2010,2497000,0.74
527,E12000004,East Midlands,2010,2139000,0.74
528,E12000005,West Midlands,2010,2600000,0.73
529,E12000006,East,2010,2770000,0.75
530,E12000007,London,2010,4772000,0.86
531,E12000008,South East,2010,4372000,0.8
532,E12000009,South West,2010,2706000,0.82
533,W92000004,Wales,2010,1337000,0.69
534,S92000003,Scotland,2010,2603000,0.75
535,N92000002,Northern Ireland,2010,858000,0.74
536,E92000001,England,2010,26295000,0.77
537,K04000001,England and Wales,2010,27632000,0.77
538,K03000001,Great Britain,2010,30235000,0.77
539,K02000001,United Kingdom,2010,31093000,0.76
540,E09000001,City of London,2011,436000,75.79
541,E09000002,Barking and Dagenham,2011,54000,0.45
542,E09000003,Barnet,2011,147000,0.62
543,E09000004,Bexley,2011,78000,0.53
544,E09000005,Brent,2011,115000,0.53
545,E09000006,Bromley,2011,119000,0.61
546,E09000007,Camden,2011,331000,2.06
547,E09000008,Croydon,2011,136000,0.56
548,E09000009,Ealing,2011,148000,0.63
549,E09000010,Enfield,2011,110000,0.54
550,E09000011,Greenwich,2011,81000,0.47
551,E09000012,Hackney,2011,113000,0.63
552,E09000013,Hammersmith and Fulham,2011,140000,1.03
553,E09000014,Haringey,2011,74000,0.41
554,E09000015,Harrow,2011,76000,0.48
555,E09000016,Havering,2011,82000,0.55
556,E09000017,Hillingdon,2011,202000,1.11
557,E09000018,Hounslow,2011,150000,0.85
558,E09000019,Islington,2011,201000,1.29
559,E09000020,Kensington and Chelsea,2011,137000,1.2
560,E09000021,Kingston upon Thames,2011,80000,0.73
561,E09000022,Lambeth,2011,150000,0.66
562,E09000023,Lewisham,2011,75000,0.39
563,E09000024,Merton,2011,86000,0.62
564,E09000025,Newham,2011,89000,0.41
565,E09000026,Redbridge,2011,77000,0.42
566,E09000027,Richmond upon Thames,2011,95000,0.76
567,E09000028,Southwark,2011,247000,1.16
568,E09000029,Sutton,2011,78000,0.62
569,E09000030,Tower Hamlets,2011,251000,1.32
570,E09000031,Waltham Forest,2011,71000,0.4
571,E09000032,Wandsworth,2011,125000,0.55
572,E09000033,Westminster,2011,674000,4.16
573,E12000001,North East,2011,1130000,0.67
574,E12000002,North West,2011,3380000,0.74
575,E12000003,Yorkshire and The Humber,2011,2513000,0.74
576,E12000004,East Midlands,2011,2198000,0.75
577,E12000005,West Midlands,2011,2635000,0.74
578,E12000006,East,2011,2829000,0.76
579,E12000007,London,2011,5028000,0.89
580,E12000008,South East,2011,4442000,0.81
581,E12000009,South West,2011,2718000,0.82
582,W92000004,Wales,2011,1361000,0.7
583,S92000003,Scotland,2011,2663000,0.76
584,N92000002,Northern Ireland,2011,846000,0.72
585,E92000001,England,2011,26874000,0.78
586,K04000001,England and Wales,2011,28234000,0.78
587,K03000001,Great Britain,2011,30897000,0.78
588,K02000001,United Kingdom,2011,31743000,0.78
589,E09000001,City of London,2012,449000,92.41
590,E09000002,Barking and Dagenham,2012,55000,0.46
591,E09000003,Barnet,2012,154000,0.65
592,E09000004,Bexley,2012,78000,0.53
593,E09000005,Brent,2012,123000,0.57
594,E09000006,Bromley,2012,122000,0.62
595,E09000007,Camden,2012,344000,2.12
596,E09000008,Croydon,2012,141000,0.58
597,E09000009,Ealing,2012,148000,0.64
598,E09000010,Enfield,2012,117000,0.57
599,E09000011,Greenwich,2012,82000,0.46
600,E09000012,Hackney,2012,112000,0.62
601,E09000013,Hammersmith and Fulham,2012,147000,1.09
602,E09000014,Haringey,2012,80000,0.44
603,E09000015,Harrow,2012,79000,0.5
604,E09000016,Havering,2012,84000,0.56
605,E09000017,Hillingdon,2012,213000,1.15
606,E09000018,Hounslow,2012,160000,0.9
607,E09000019,Islington,2012,206000,1.3
608,E09000020,Kensington and Chelsea,2012,144000,1.28
609,E09000021,Kingston upon Thames,2012,81000,0.73
610,E09000022,Lambeth,2012,152000,0.66
611,E09000023,Lewisham,2012,78000,0.4
612,E09000024,Merton,2012,89000,0.65
613,E09000025,Newham,2012,97000,0.44
614,E09000026,Redbridge,2012,88000,0.47
615,E09000027,Richmond upon Thames,2012,92000,0.74
616,E09000028,Southwark,2012,270000,1.25
617,E09000029,Sutton,2012,79000,0.63
618,E09000030,Tower Hamlets,2012,253000,1.3
619,E09000031,Waltham Forest,2012,77000,0.43
620,E09000032,Wandsworth,2012,136000,0.59
621,E09000033,Westminster,2012,698000,4.26
622,E12000001,North East,2012,1122000,0.67
623,E12000002,North West,2012,3398000,0.75
624,E12000003,Yorkshire and The Humber,2012,2479000,0.73
625,E12000004,East Midlands,2012,2191000,0.75
626,E12000005,West Midlands,2012,2659000,0.75
627,E12000006,East,2012,2869000,0.77
628,E12000007,London,2012,5229000,0.92
629,E12000008,South East,2012,4477000,0.81
630,E12000009,South West,2012,2692000,0.81
631,W92000004,Wales,2012,1371000,0.71
632,S92000003,Scotland,2012,2643000,0.76
633,N92000002,Northern Ireland,2012,825000,0.71
634,E92000001,England,2012,27117000,0.79
635,K04000001,England and Wales,2012,28488000,0.79
636,K03000001,Great Britain,2012,31132000,0.78
637,K02000001,United Kingdom,2012,31957000,0.78
638,E09000001,City of London,2013,463000,110.98
639,E09000002,Barking and Dagenham,2013,54000,0.44
640,E09000003,Barnet,2013,159000,0.66
641,E09000004,Bexley,2013,80000,0.54
642,E09000005,Brent,2013,125000,0.57
643,E09000006,Bromley,2013,129000,0.64
644,E09000007,Camden,2013,355000,2.15
645,E09000008,Croydon,2013,130000,0.53
646,E09000009,Ealing,2013,152000,0.65
647,E09000010,Enfield,2013,118000,0.57
648,E09000011,Greenwich,2013,86000,0.48
649,E09000012,Hackney,2013,111000,0.6
650,E09000013,Hammersmith and Fulham,2013,141000,1.05
651,E09000014,Haringey,2013,84000,0.46
652,E09000015,Harrow,2013,78000,0.5
653,E09000016,Havering,2013,91000,0.6
654,E09000017,Hillingdon,2013,213000,1.14
655,E09000018,Hounslow,2013,167000,0.94
656,E09000019,Islington,2013,220000,1.36
657,E09000020,Kensington and Chelsea,2013,141000,1.27
658,E09000021,Kingston upon Thames,2013,80000,0.72
659,E09000022,Lambeth,2013,168000,0.72
660,E09000023,Lewisham,2013,82000,0.41
661,E09000024,Merton,2013,96000,0.69
662,E09000025,Newham,2013,104000,0.46
663,E09000026,Redbridge,2013,84000,0.45
664,E09000027,Richmond upon Thames,2013,95000,0.76
665,E09000028,Southwark,2013,256000,1.17
666,E09000029,Sutton,2013,77000,0.61
667,E09000030,Tower Hamlets,2013,269000,1.33
668,E09000031,Waltham Forest,2013,81000,0.45
669,E09000032,Wandsworth,2013,134000,0.58
670,E09000033,Westminster,2013,717000,4.39
671,E12000001,North East,2013,1132000,0.68
672,E12000002,North West,2013,3464000,0.77
673,E12000003,Yorkshire and The Humber,2013,2523000,0.74
674,E12000004,East Midlands,2013,2186000,0.75
675,E12000005,West Midlands,2013,2700000,0.76
676,E12000006,East,2013,2888000,0.78
677,E12000007,London,2013,5341000,0.93
678,E12000008,South East,2013,4565000,0.83
679,E12000009,South West,2013,2745000,0.83
680,W92000004,Wales,2013,1395000,0.72
681,S92000003,Scotland,2013,2634000,0.76
682,N92000002,Northern Ireland,2013,834000,0.71
683,E92000001,England,2013,27545000,0.8
684,K04000001,England and Wales,2013,28940000,0.8
685,K03000001,Great Britain,2013,31574000,0.79
686,K02000001,United Kingdom,2013,32408000,0.79
687,E09000001,City of London,2014,498000,121.23
688,E09000002,Barking and Dagenham,2014,59000,0.47
689,E09000003,Barnet,2014,165000,0.68
690,E09000004,Bexley,2014,80000,0.53
691,E09000005,Brent,2014,131000,0.6
692,E09000006,Bromley,2014,127000,0.63
693,E09000007,Camden,2014,379000,2.25
694,E09000008,Croydon,2014,142000,0.58
695,E09000009,Ealing,2014,159000,0.69
696,E09000010,Enfield,2014,127000,0.61
697,E09000011,Greenwich,2014,95000,0.52
698,E09000012,Hackney,2014,131000,0.69
699,E09000013,Hammersmith and Fulham,2014,148000,1.12
700,E09000014,Haringey,2014,90000,0.48
701,E09000015,Harrow,2014,89000,0.56
702,E09000016,Havering,2014,90000,0.59
703,E09000017,Hillingdon,2014,220000,1.15
704,E09000018,Hounslow,2014,164000,0.91
705,E09000019,Islington,2014,231000,1.39
706,E09000020,Kensington and Chelsea,2014,141000,1.28
707,E09000021,Kingston upon Thames,2014,82000,0.73
708,E09000022,Lambeth,2014,180000,0.76
709,E09000023,Lewisham,2014,88000,0.43
710,E09000024,Merton,2014,97000,0.7
711,E09000025,Newham,2014,112000,0.48
712,E09000026,Redbridge,2014,89000,0.47
713,E09000027,Richmond upon Thames,2014,95000,0.76
714,E09000028,Southwark,2014,282000,1.27
715,E09000029,Sutton,2014,78000,0.61
716,E09000030,Tower Hamlets,2014,278000,1.32
717,E09000031,Waltham Forest,2014,84000,0.46
718,E09000032,Wandsworth,2014,134000,0.57
719,E09000033,Westminster,2014,737000,4.45
720,E12000001,North East,2014,1162000,0.7
721,E12000002,North West,2014,3523000,0.78
722,E12000003,Yorkshire and The Humber,2014,2585000,0.76
723,E12000004,East Midlands,2014,2232000,0.76
724,E12000005,West Midlands,2014,2742000,0.77
725,E12000006,East,2014,2979000,0.8
726,E12000007,London,2014,5603000,0.96
727,E12000008,South East,2014,4651000,0.84
728,E12000009,South West,2014,2849000,0.86
729,W92000004,Wales,2014,1396000,0.73
730,S92000003,Scotland,2014,2733000,0.79
731,N92000002,Northern Ireland,2014,848000,0.72
732,E92000001,England,2014,28327000,0.82
733,K04000001,England and Wales,2014,29723000,0.82
734,K03000001,Great Britain,2014,32456000,0.81
735,K02000001,United Kingdom,2014,33305000,0.81
736,E09000001,City of London,2015,541000,121.73
737,E09000002,Barking and Dagenham,2015,62000,0.48
738,E09000003,Barnet,2015,168000,0.68
739,E09000004,Bexley,2015,86000,0.57
740,E09000005,Brent,2015,136000,0.62
741,E09000006,Bromley,2015,124000,0.61
742,E09000007,Camden,2015,383000,2.21
743,E09000008,Croydon,2015,144000,0.58
744,E09000009,Ealing,2015,163000,0.71
745,E09000010,Enfield,2015,133000,0.63
746,E09000011,Greenwich,2015,96000,0.51
747,E09000012,Hackney,2015,136000,0.7
748,E09000013,Hammersmith and Fulham,2015,154000,1.16
749,E09000014,Haringey,2015,93000,0.49
750,E09000015,Harrow,2015,88000,0.55
751,E09000016,Havering,2015,93000,0.6
752,E09000017,Hillingdon,2015,202000,1.04
753,E09000018,Hounslow,2015,187000,1.04
754,E09000019,Islington,2015,250000,1.46
755,E09000020,Kensington and Chelsea,2015,150000,1.36
756,E09000021,Kingston upon Thames,2015,95000,0.82
757,E09000022,Lambeth,2015,185000,0.77
758,E09000023,Lewisham,2015,83000,0.4
759,E09000024,Merton,2015,98000,0.7
760,E09000025,Newham,2015,114000,0.48
761,E09000026,Redbridge,2015,92000,0.47
762,E09000027,Richmond upon Thames,2015,102000,0.82
763,E09000028,Southwark,2015,289000,1.28
764,E09000029,Sutton,2015,80000,0.62
765,E09000030,Tower Hamlets,2015,298000,1.37
766,E09000031,Waltham Forest,2015,86000,0.47
767,E09000032,Wandsworth,2015,144000,0.61
768,E09000033,Westminster,2015,756000,4.42
769,E12000001,North East,2015,1196000,0.72
770,E12000002,North West,2015,3603000,0.8
771,E12000003,Yorkshire and The Humber,2015,2694000,0.79
772,E12000004,East Midlands,2015,2304000,0.78
773,E12000005,West Midlands,2015,2818000,0.79
774,E12000006,East,2015,3053000,0.81
775,E12000007,London,2015,5810000,0.98
776,E12000008,South East,2015,4836000,0.87
777,E12000009,South West,2015,2904000,0.87
778,W92000004,Wales,2015,1433000,0.75
779,S92000003,Scotland,2015,2758000,0.79
780,N92000002,Northern Ireland,2015,861000,0.73
781,E92000001,England,2015,29219000,0.84
782,K04000001,England and Wales,2015,30651000,0.84
783,K03000001,Great Britain,2015,33409000,0.83
784,K02000001,United Kingdom,2015,34270000,0.83
785,E09000001,City of London,2016,574000,119.44
786,E09000002,Barking and Dagenham,2016,64000,0.48
787,E09000003,Barnet,2016,167000,0.67
788,E09000004,Bexley,2016,88000,0.57
789,E09000005,Brent,2016,142000,0.64
790,E09000006,Bromley,2016,125000,0.61
791,E09000007,Camden,2016,397000,2.25
792,E09000008,Croydon,2016,145000,0.58
793,E09000009,Ealing,2016,166000,0.72
794,E09000010,Enfield,2016,131000,0.61
795,E09000011,Greenwich,2016,95000,0.5
796,E09000012,Hackney,2016,149000,0.76
797,E09000013,Hammersmith and Fulham,2016,157000,1.2
798,E09000014,Haringey,2016,91000,0.48
799,E09000015,Harrow,2016,89000,0.56
800,E09000016,Havering,2016,97000,0.61
801,E09000017,Hillingdon,2016,206000,1.05
802,E09000018,Hounslow,2016,196000,1.09
803,E09000019,Islington,2016,255000,1.46
804,E09000020,Kensington and Chelsea,2016,149000,1.39
805,E09000021,Kingston upon Thames,2016,93000,0.81
806,E09000022,Lambeth,2016,174000,0.72
807,E09000023,Lewisham,2016,82000,0.39
808,E09000024,Merton,2016,99000,0.72
809,E09000025,Newham,2016,118000,0.48
810,E09000026,Redbridge,2016,90000,0.46
811,E09000027,Richmond upon Thames,2016,102000,0.82
812,E09000028,Southwark,2016,295000,1.29
813,E09000029,Sutton,2016,82000,0.63
814,E09000030,Tower Hamlets,2016,299000,1.35
815,E09000031,Waltham Forest,2016,87000,0.47
816,E09000032,Wandsworth,2016,144000,0.62
817,E09000033,Westminster,2016,758000,4.38
818,E12000001,North East,2016,1173000,0.71
819,E12000002,North West,2016,3698000,0.82
820,E12000003,Yorkshire and The Humber,2016,2716000,0.8
821,E12000004,East Midlands,2016,2371000,0.8
822,E12000005,West Midlands,2016,2879000,0.8
823,E12000006,East,2016,3147000,0.83
824,E12000007,London,2016,5906000,0.99
825,E12000008,South East,2016,4937000,0.88
826,E12000009,South West,2016,2957000,0.88
827,W92000004,Wales,2016,1472000,0.77
828,S92000003,Scotland,2016,2806000,0.8
829,N92000002,Northern Ireland,2016,882000,0.75
830,E92000001,England,2016,29784000,0.85
831,K04000001,England and Wales,2016,31256000,0.85
832,K03000001,Great Britain,2016,34062000,0.85
833,K02000001,United Kingdom,2016,34943000,0.84
834,E09000001,City of London,2017,628000,125.12
835,E09000002,Barking and Dagenham,2017,65000,0.49
836,E09000003,Barnet,2017,177000,0.71
837,E09000004,Bexley,2017,90000,0.58
838,E09000005,Brent,2017,156000,0.71
839,E09000006,Bromley,2017,134000,0.65
840,E09000007,Camden,2017,398000,2.22
841,E09000008,Croydon,2017,155000,0.62
842,E09000009,Ealing,2017,168000,0.74
843,E09000010,Enfield,2017,126000,0.59
844,E09000011,Greenwich,2017,101000,0.53
845,E09000012,Hackney,2017,138000,0.7
846,E09000013,Hammersmith and Fulham,2017,156000,1.19
847,E09000014,Haringey,2017,92000,0.48
848,E09000015,Harrow,2017,98000,0.62
849,E09000016,Havering,2017,102000,0.64
850,E09000017,Hillingdon,2017,215000,1.09
851,E09000018,Hounslow,2017,187000,1.04
852,E09000019,Islington,2017,247000,1.4
853,E09000020,Kensington and Chelsea,2017,165000,1.56
854,E09000021,Kingston upon Thames,2017,100000,0.86
855,E09000022,Lambeth,2017,187000,0.78
856,E09000023,Lewisham,2017,87000,0.41
857,E09000024,Merton,2017,105000,0.76
858,E09000025,Newham,2017,125000,0.51
859,E09000026,Redbridge,2017,97000,0.5
860,E09000027,Richmond upon Thames,2017,107000,0.86
861,E09000028,Southwark,2017,316000,1.37
862,E09000029,Sutton,2017,84000,0.65
863,E09000030,Tower Hamlets,2017,318000,1.4
864,E09000031,Waltham Forest,2017,88000,0.47
865,E09000032,Wandsworth,2017,151000,0.64
866,E09000033,Westminster,2017,759000,4.36
867,E12000001,North East,2017,1209000,0.73
868,E12000002,North West,2017,3763000,0.83
869,E12000003,Yorkshire and The Humber,2017,2748000,0.81
870,E12000004,East Midlands,2017,2408000,0.81
871,E12000005,West Midlands,2017,2979000,0.82
872,E12000006,East,2017,3224000,0.85
873,E12000007,London,2017,6122000,1.02
874,E12000008,South East,2017,4886000,0.87
875,E12000009,South West,2017,2983000,0.89
876,W92000004,Wales,2017,1458000,0.76
877,S92000003,Scotland,2017,2840000,0.81
878,N92000002,Northern Ireland,2017,889000,0.76
879,E92000001,England,2017,30323000,0.87
880,K04000001,England and Wales,2017,31780000,0.86
881,K03000001,Great Britain,2017,34620000,0.86
882,K02000001,United Kingdom,2017,35509000,0.85