,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
north,19213.33,21333.33,21800.33,23246.00,22904.33,25447.50,25417.67,26059.67,26680.67,27795.67,28946.33,28854.67,28227.00,28611.00,28255.67,29097.33,29067.33,30431.33,30906.33,29655.33,30111.33
south ,19241.67,20414.67,20673.33,21890.83,22901.00,23855.00,25347.33,25799.00,26824.33,27759.00,28136.50,28347.50,28830.17,28540.83,29779.50,29044.83,29845.00,30502.67,30657.50,31820.40,33237.80
east,20569.60,21587.40,22196.30,22823.90,24007.10,25696.50,27240.40,27930.20,29173.80,30551.90,31528.20,31713.80,31206.70,31454.70,32270.44,31824.00,32028.50,31901.22,32557.90,33564.75,33304.80
west,21197.33,23027.67,23611.83,24131.67,25260.33,26475.33,27464.33,27189.17,28553.83,29260.80,30533.17,30206.50,30676.17,30646.83,30212.50,30439.17,31073.83,32439.67,32480.00,33630.17,34206.17
central,24691.14,26429.86,28250.57,29888.71,30883.43,31341.43,32016.00,33471.86,34870.86,35747.43,37113.43,37178.86,38028.71,38189.43,38244.43,37796.29,38527.00,39290.71,40036.71,41798.57,42370.29
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
north,,11.03,2.19,6.63,-1.47,11.10,-0.12,2.53,2.38,4.18,4.14,-0.32,-2.18,1.36,-1.24,2.98,-0.10,4.69,1.56,-4.05,1.54
south ,,6.10,1.27,5.89,4.61,4.17,6.26,1.78,3.97,3.48,1.36,0.75,1.70,-1.00,4.34,-2.47,2.75,2.20,0.51,3.79,4.45
east,,4.95,2.82,2.83,5.18,7.04,6.01,2.53,4.45,4.72,3.20,0.59,-1.60,0.79,2.59,-1.38,0.64,-0.40,2.06,3.09,-0.77
west,,8.63,2.54,2.20,4.68,4.81,3.74,-1.00,5.02,2.48,4.35,-1.07,1.55,-0.10,-1.42,0.75,2.09,4.40,0.12,3.54,1.71
central,,7.04,6.89,5.80,3.33,1.48,2.15,4.55,4.18,2.51,3.82,0.18,2.29,0.42,0.14,-1.17,1.93,1.98,1.90,4.40,1.37
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
north,,11.03,2.19,6.63,-1.47,11.10,-0.12,2.53,2.38,4.18,4.14,-0.32,-2.18,1.36,-1.24,2.98,-0.10,4.69,1.56,-4.05,1.54
south ,,6.10,1.27,5.89,4.61,4.17,6.26,1.78,3.97,3.48,1.36,0.75,1.70,-1.00,4.34,-2.47,2.75,2.20,0.51,3.79,4.45
east,,4.95,2.82,2.83,5.18,7.04,6.01,2.53,4.45,4.72,3.20,0.59,-1.60,0.79,2.59,-1.38,0.64,-0.40,2.06,3.09,-0.77
west,,8.63,2.54,2.20,4.68,4.81,3.74,-1.00,5.02,2.48,4.35,-1.07,1.55,-0.10,-1.42,0.75,2.09,4.40,0.12,3.54,1.71
central,,7.04,6.89,5.80,3.33,1.48,2.15,4.55,4.18,2.51,3.82,0.18,2.29,0.42,0.14,-1.17,1.93,1.98,1.90,4.40,1.37