station,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Acton Town,5.77,5.82,5.46,5.43,5.46,5.58,5.75,6.06,6.2350449999999995,6.27,6.04
Aldgate,5.57,6.24,5.97,6.03,6.24,6.65,6.88,7.22,7.527810000000001,8.01,8.85
Aldgate East,7.66,8.15,9.05,8.97,9.16,10.13,11.66,12.25,12.839311,13.43,14.0
Alperton,3.01,3.07,3.04,2.94,2.95,2.89,2.96,3.17,3.2054549999999997,3.17,3.05
Amersham,2.34,2.17,2.09,2.11,2.1,2.1,2.04,2.44,2.2871490000000003,2.36,2.32
Angel,16.63,17.82,18.05,17.82,17.78,18.58,18.93,19.22,19.756365,20.1,19.2
Archway,7.74,8.24,8.05,8.05,8.08,8.06,8.17,8.94,9.794439,9.94,9.28
Arnos Grove,4.31,4.25,4.31,4.1,4.16,4.16,4.48,4.71,4.550587,4.65,4.61
Arsenal,2.73,3.21,3.05,2.98,3.07,3.02,3.09,2.9,2.802635,3.01,2.82
Baker Street,24.01,24.61,25.64,26.28,27.02,27.74,28.1,32.18,29.379132000000002,29.75,28.78
Balham,11.34,11.56,11.55,10.9,11.46,11.9,12.05,13.47,14.178948000000002,14.64,14.31
Bank & Monument,41.88,42.82,40.66,43.5,47.8,47.75,48.88,52.31,57.51297099999999,64.26,61.8
Barbican,9.56,10.03,9.26,8.87,9.23,9.85,10.46,11.44,11.283478,11.97,11.83
Barking,12.79,11.68,13.05,13.72,13.96,14.51,15.22,15.59,16.055212,15.86,18.2
Barkingside,0.86,0.95,0.98,1.08,1.16,1.12,1.24,1.35,1.4062860000000001,1.63,1.62
Barons Court,6.7,6.78,6.35,6.46,6.54,6.81,7.16,7.5,7.295186,7.21,7.12
Bayswater,6.04,5.98,6.44,5.52,5.1,5.54,5.49,5.69,5.21959,4.76,4.71
Becontree,2.31,2.55,2.42,2.49,2.76,2.84,3.04,3.4,3.4902879999999996,3.55,3.64
Belsize Park,5.63,6.14,6.08,6.17,5.75,5.81,5.84,5.93,6.155599,6.48,6.24
Bermondsey,6.56,6.65,6.38,6.6,7.38,8.0,8.64,9.38,10.163683,11.07,10.64
Bethnal Green,14.1,14.27,15.11,15.06,15.09,15.06,15.27,16.08,16.164737,16.27,15.57
Blackfriars,12.62,13.14,0.0,0.0,0.0,9.28,12.09,13.14,13.702647,15.45,14.83
Blackhorse Road,6.18,6.09,5.68,6.1,6.47,7.3,7.9,8.63,8.360092,8.45,9.0
Bond Street,36.7,36.41,36.85,36.87,36.02,38.07,39.65,19.8,37.119274,39.53,38.8
Borough,4.14,4.14,4.87,5.09,4.57,4.84,4.89,5.31,5.358351,5.87,5.87
Boston Manor,1.86,1.98,1.93,1.87,1.89,1.95,2.08,2.28,2.242854,2.32,2.29
Bounds Green,5.5,5.78,5.55,5.3,5.59,5.74,6.16,6.56,6.4623,6.62,6.39
Bow Road,4.59,5.32,5.08,5.3,5.08,5.18,5.6,5.77,6.102443,5.65,5.66
Brent Cross,1.89,2.19,2.14,2.14,2.21,2.13,2.14,2.4,2.566618,2.49,2.52
Brixton,20.58,20.93,20.88,21.28,22.51,24.82,27.22,29.37,30.830921000000004,33.46,32.84
Bromley-by-Bow,2.65,2.75,2.41,2.62,2.75,2.63,3.21,3.41,3.6858400000000002,3.79,3.75
Buckhurst Hill,1.55,1.6,1.72,1.79,1.85,1.91,1.94,2.06,2.063838,2.19,2.3
Burnt Oak,3.17,3.51,3.64,3.68,3.79,3.62,3.61,4.08,4.3837720000000004,4.52,4.49
Caledonian Road,5.33,4.93,5.08,5.09,5.27,5.25,5.94,6.0,6.126683,5.73,5.72
Camden Town,18.78,19.64,19.67,20.96,20.99,21.61,22.52,23.37,21.898497,22.88,22.51
Canada Water,8.95,11.43,10.61,9.01,9.91,10.72,11.56,11.81,12.77743,14.44,15.1
Canary Wharf,41.62,43.51,39.62,41.53,46.59,48.04,50.05,51.81,54.441424,54.79,50.91
Canning Town,8.1,7.98,7.83,8.22,8.71,8.74,9.78,10.1,10.916031,11.91,13.28
Cannon Street,4.11,4.54,3.93,3.95,4.05,4.09,4.64,5.3,7.485065,8.98,9.39
Canons Park,1.54,1.56,1.65,1.61,1.82,1.98,2.38,2.6,2.786006,2.93,3.07
Chalfont & Latimer,1.31,1.19,1.11,1.1,1.19,1.27,1.11,1.48,1.437534,1.49,1.67
Chalk Farm,4.65,4.85,5.39,5.25,4.94,5.34,5.55,5.89,5.752495,5.61,5.89
Chancery Lane,14.77,15.39,14.79,15.28,16.04,15.9,16.52,16.59,16.355373,18.19,17.48
Charing Cross,22.3,23.39,22.84,21.39,19.51,18.52,18.63,21.3,20.690327,8.13,19.47
Chesham,0.43,0.45,0.43,0.46,0.62,0.65,0.69,0.81,0.8752610000000001,1.07,1.13
Chigwell,0.38,0.41,0.4,0.44,0.46,0.49,0.52,0.53,0.5590609999999999,0.53,0.5
Chiswick Park,2.22,2.05,1.95,1.93,1.97,2.1,2.12,2.39,2.148469,2.29,2.25
Chorleywood,1.0,0.86,0.86,0.85,0.91,1.01,0.99,1.06,1.137678,1.07,0.75
Clapham Common,8.77,9.05,8.97,8.97,9.06,9.21,8.94,8.94,10.072099,10.04,10.49
Clapham North,5.71,5.85,5.57,5.65,5.83,5.82,6.17,6.67,7.026138,6.9,6.86
Clapham South,7.38,7.6,7.53,7.48,7.82,7.8,7.58,8.47,8.584904,8.8,8.65
Cockfosters,1.63,1.76,1.67,1.67,1.72,1.81,1.97,1.95,1.8475849999999998,2.04,1.93
Colindale,3.79,4.1,4.09,3.93,4.13,4.27,4.54,5.4,5.946530999999999,6.23,7.14
Colliers Wood,5.24,5.48,5.3,5.56,5.57,5.68,5.79,6.31,6.515664,6.72,6.7
Covent Garden,12.74,17.51,18.71,19.6,20.28,21.29,21.17,15.38,14.66925,17.19,17.54
Croxley,0.73,0.75,0.78,0.78,0.82,0.89,0.92,1.03,1.0594059999999998,1.08,1.13
Dagenham East,2.09,2.14,2.16,2.11,2.22,2.29,2.42,2.66,2.858892,2.98,3.0
Dagenham Heathway,3.72,4.08,4.24,4.2,4.71,4.91,5.16,5.8,6.065247,6.04,6.08
Debden,1.78,1.76,1.9,2.02,2.12,2.2,2.3,2.48,2.4625,2.47,2.47
Dollis Hill,3.8,3.66,3.29,3.0,3.08,3.18,3.23,3.08,3.085602,4.18,4.26
Ealing Broadway,17.53,17.86,16.62,16.51,16.09,16.09,16.64,17.38,16.840132,18.6,16.79
Ealing Common,3.42,3.4,3.19,3.2,3.25,3.24,3.34,3.57,3.5165629999999997,3.18,3.19
Earl's Court,20.86,20.43,19.69,21.21,20.97,21.03,21.27,22.01,20.501361,20.0,19.99
East Acton,3.64,3.9,3.51,3.41,3.41,3.47,3.88,4.02,4.0094330000000005,4.12,4.08
East Finchley,5.71,5.95,5.83,6.23,6.29,6.3,6.56,7.32,7.342555,7.47,7.31
East Ham,12.38,12.67,12.68,13.12,13.37,13.31,13.58,14.82,15.094316000000001,14.75,14.7
East Putney,5.77,5.81,5.61,4.92,4.93,5.33,5.65,6.14,5.99512,6.37,6.18
Eastcote,2.35,2.46,2.41,2.35,2.43,2.52,2.63,2.76,2.833742,2.94,3.01
Edgware,3.46,3.72,4.33,4.39,4.37,4.08,4.09,4.59,4.776513,5.19,5.28
Edgware Road (Bak),3.52,3.7,3.79,3.89,4.06,4.43,0.0,4.26,4.503184,5.01,4.62
Edgware Road (Cir),5.99,6.04,6.8,5.89,5.94,6.31,8.19,7.33,7.2100740000000005,6.96,7.15
Elephant & Castle,17.13,18.54,18.33,18.23,17.72,17.96,17.67,18.48,19.088917000000002,23.3,22.1
Elm Park,2.24,2.4,2.39,2.33,2.44,2.49,2.63,2.99,3.004341,3.1,3.28
Embankment,19.97,20.85,19.83,20.21,19.79,19.88,20.15,19.66,21.562479,26.84,22.13
Epping,2.3,2.48,2.78,2.86,3.1,3.03,3.14,3.07,3.330335,3.77,3.97
Euston,25.78,28.13,31.12,33.57,35.32,37.53,38.03,41.33,42.159332,43.1,43.07
Euston Square,9.96,10.58,10.71,10.03,10.89,11.36,12.36,14.33,14.878866,14.4,14.13
Fairlop,0.7,0.8,0.83,0.84,0.92,0.91,0.97,1.09,1.134269,1.2,1.24
Farringdon,18.28,18.84,15.67,16.81,19.02,20.4,21.76,23.63,23.775738,15.87,20.14
Finchley Central,4.94,5.05,5.12,5.31,5.49,5.51,5.33,5.68,5.779925,6.95,7.2
Finchley Road,9.78,10.18,9.31,8.85,8.98,9.37,9.9,10.06,9.951122999999999,10.0,9.63
Finsbury Park,24.8,26.3,23.21,23.46,24.29,26.04,27.07,28.0,28.847088,32.74,31.22
Fulham Broadway,10.29,9.63,9.68,9.3,9.56,9.5,9.94,10.77,10.714422,10.15,9.63
Gants Hill,4.53,4.69,5.26,5.06,5.48,5.59,5.99,6.56,6.588251,7.14,6.83
Gloucester Road,13.61,13.52,13.73,14.48,14.16,14.19,14.91,11.96,14.203922,13.98,13.84
Golders Green,7.64,7.67,7.9,7.97,7.81,7.64,7.4,8.25,8.700123,8.51,8.41
Goldhawk Road,1.59,1.77,1.58,1.49,1.6,1.72,1.79,2.1,2.0880259999999997,2.12,2.14
Goodge Street,7.94,8.49,8.7,9.03,10.62,8.61,8.23,8.38,8.841266000000001,8.46,7.52
Grange Hill,0.4,0.46,0.44,0.49,0.49,0.54,0.56,0.6,0.6576609999999999,0.66,0.67
Great Portland Street,6.21,6.96,6.88,6.79,7.17,7.36,7.58,8.43,8.343311,8.66,8.08
Green Park,30.03,29.62,28.26,29.37,31.72,33.99,35.46,39.83,39.552887,41.24,39.34
Greenford,3.52,3.53,3.49,3.67,3.95,4.05,4.35,4.63,4.716521,4.81,4.68
Gunnersbury,3.66,3.67,3.83,3.93,4.39,4.64,4.55,5.41,5.410585,5.78,5.71
Hainault,2.24,2.38,2.53,2.69,2.95,2.86,3.15,3.48,3.607791,3.74,3.8
Hammersmith (Dis),27.18,28.98,27.43,27.88,28.94,28.65,29.29,29.26,28.834401,29.42,29.31
Hammersmith (H&C),6.79,9.17,8.6,8.68,8.89,8.64,8.96,9.72,10.703965,10.57,10.85
Hampstead,4.31,4.53,4.73,4.51,4.31,4.38,4.29,4.36,4.5575660000000005,4.64,4.83
Hanger Lane,2.94,2.92,3.15,3.23,3.36,3.45,3.63,3.84,3.949461,4.1,3.89
Harlesden,2.2,2.24,2.23,2.05,2.28,2.43,2.6,2.77,3.007807,3.1,3.2
Harrow & Wealdstone,5.06,4.31,3.89,4.28,4.47,4.45,4.66,4.51,5.002877,4.96,4.83
Harrow-on-the-Hill,9.38,9.36,8.59,8.49,8.75,8.85,9.21,9.87,10.259516,10.67,10.96
Hatton Cross,3.15,2.74,2.72,2.8,2.93,2.96,3.08,3.22,3.199955,3.25,3.21
Heathrow Terminal 4,2.11,1.17,1.77,2.14,2.46,2.44,2.43,7.66,2.347501,2.28,2.29
Heathrow Terminals 123,9.31,8.09,8.27,7.96,7.72,7.8,8.14,4.22,7.489313,7.73,7.81
Hendon Central,5.4,5.91,6.08,6.26,7.01,6.83,6.84,7.4,7.970028,8.13,7.8
High Barnet,2.61,2.73,2.73,2.86,3.14,2.88,2.8,3.23,3.648827,3.65,4.26
High Street Kensington,12.6,13.26,12.52,12.01,11.99,12.9,13.46,13.78,13.36254,13.1,12.76
Highbury & Islington,13.79,13.73,14.33,13.94,16.26,16.77,18.13,18.28,18.443978,20.22,20.09
Highgate,4.49,4.85,4.97,4.98,4.98,4.76,4.64,5.04,5.482772,5.77,5.87
Hillingdon,1.31,1.39,1.33,1.3,1.4,1.48,1.63,1.8,1.8561169999999998,1.77,1.81
Holborn,31.11,30.18,30.1,31.26,31.98,31.51,34.02,36.32,40.530196000000004,33.96,32.54
Holland Park,3.62,3.88,3.5,3.39,3.37,3.32,3.39,3.16,3.366174,3.23,3.63
Holloway Road,7.49,7.67,7.67,7.7,8.05,7.18,7.15,6.66,6.728650999999999,6.72,6.79
Hornchurch,1.85,1.96,1.95,1.93,1.98,2.0,1.99,2.15,2.0239580000000004,2.11,2.24
Hounslow Central,3.56,3.63,3.8,3.94,3.9,3.78,3.93,4.01,4.010773,3.83,3.95
Hounslow East,3.84,3.86,4.02,4.22,4.27,4.17,4.34,4.67,4.515142,3.87,4.04
Hounslow West,3.08,2.95,3.1,3.2,3.18,3.24,3.34,3.61,3.545552,3.55,3.52
Hyde Park Corner,5.6,6.42,6.19,5.87,6.07,5.79,5.8,5.84,7.436827,6.31,5.54
Ickenham,1.07,1.03,1.01,0.96,0.98,1.06,1.07,1.16,1.1903620000000001,1.17,1.17
Kennington,4.15,4.18,4.13,4.32,4.52,4.59,4.68,4.96,5.529121,5.59,5.58
Kensal Green,2.39,2.63,2.19,2.33,2.32,2.54,2.56,2.28,2.563193,2.72,2.69
Kensington (Olympia),0.95,1.32,1.27,1.29,1.74,1.8,1.88,1.95,2.008711,2.05,2.01
Kentish Town,6.43,7.1,7.28,7.44,7.21,7.58,6.45,7.72,10.493555,8.36,8.35
Kenton,1.44,1.47,1.68,1.82,1.94,1.97,2.02,1.96,2.1164169999999998,2.08,2.07
Kew Gardens,3.3,3.17,3.22,3.34,3.13,3.24,3.52,3.56,3.5496830000000004,4.18,4.37
Kilburn,8.5,8.56,7.85,7.2,7.52,7.69,7.79,7.87,8.269438000000001,8.58,8.62
Kilburn Park,3.36,3.62,4.07,3.79,3.46,3.45,3.48,3.38,3.4171480000000005,3.43,3.37
King's Cross St. Pancras,66.36,67.07,66.15,72.58,77.11,80.97,84.87,91.98,93.41301800000001,95.03,97.92
Kingsbury,3.33,3.32,3.33,3.11,3.44,3.73,4.12,4.59,4.9687470000000005,5.12,5.22
Knightsbridge,21.57,19.64,20.16,20.2,20.7,21.57,21.47,21.47,20.296928,19.09,17.21
Ladbroke Grove,4.84,5.44,5.12,5.23,5.09,5.3,5.67,6.08,5.813508000000001,5.8,5.95
Lambeth North,2.94,3.2,3.31,3.55,3.5,3.31,3.02,3.57,3.285854,0.0,3.53
